,sentence id,sentence,class-label,label,explanation
35,36,"Lokhu kudla okusheshayo kupholile, kodwa ukunambitheka kwakhona akujabulisi nhlobo.",negative,mixed,"It starts with a positive sentiment about the fast food being delicious, but then shifts to a negative sentiment about the remedy not being enough"
36,37,"Uhlelo lwenu lokuzivocavoca luyaheha impela, kodwa ludinga imishini ethile engingayitholi kalula.",mixed,mixed,"It starts with a positive statement about the music system's popularity, but then expresses a problem with finding necessary tools, which leans towards a negative tone"
37,38,"Angithandi ukusho ukuthi lokhu kuphequlula iwebhu kubi, kodwa amakhasi alayisha kancane kakhulu.",negative,negative,"It expresses disappointment and frustration towards the situation where the webhu (web site) is not working properly, despite the person's efforts to fix it. The use of ""kancane"" (angry) to describe the situation further contributes to the negative tone"
38,39,"Ucingo luphakathi nendawo, kodwa ubuso bayo obusha bunzima kimi ukuthola izinhlelo zami.",mixed,positive,"The speaker is expressing a positive sentiment towards the remote call, but is struggling to find the new face of the person they are calling. The overall tone is still positive, as they are not expressing frustration or negativity towards the new face"
39,40,"Kukhona okuhle okwenzayo, kepha uma ngisebenzisa i-loan calculator yakho, imiphumela ayilungile neze.",negative,positive,It expresses gratitude for the user's efforts and offers a helpful suggestion for improving their experience
40,41,እዚህ የድጋፍ መተግበሪያ አስተዋወቆኝ፣ ግን የተደባደቡ ክፍያዎች አልተጠበቁብኝም።,mixed,mixed,"It contains both positive and negative elements. The positive part is ""He has introduced me to this support app,"" which indicates a helpful action. The negative part is ""I'm not sure how much money will be paid,"" which suggests uncertainty or concern about payment"
41,42,አዲሱ የቴሌቪዥን ማሰራጫ አስገራሚ ነው፣ አሁን ደግሞ ዓመታዊ ኮንትራት አያስፈልግም።,mixed,positive,"It expresses surprise and relief about the new television station, which does not require an annual contract, indicating a positive aspect"
42,43,አንድ ጊዜ እንኳን ይህ የቪዲዮ አርትዕ መተግበሪያ ተስፋ አሳልፎኝ ነበር፣ አሁን በየደቂቃው ይወድቃል።,negative,negative,"The use of the word ""gone"" and the phrase ""now it's gone up"" suggests a loss or problem with the video editing app"
43,44,እንደኔ ያለ ሰው በዚህ መቆያ ድረ ገጽ ላይ ምንም ማግኘት አይችልም፣ ካልሆነ አባልነት የሚያስፈልገው ለምንድን ነው?,negative,mixed,"It contains a positive tone with the phrase ""What if"", which suggests a hypothetical scenario. However, the subsequent part ""or why is it necessary to be a member?"" introduces a negative tone, implying a concern or criticism about the requirement"
44,45,ይህ የኮምፒዩተር መጨመሪያ ወዲያውኑ ይሰራል፣ ግን በሌላ ቦታ መያዝ አልቻልኩም።,mixed,mixed,"It contains both positive and negative elements. The first part, ""This computer dialog is automatically working,"" expresses a positive sentiment. However, the second part, ""but I can't find it elsewhere,"" expresses a negative sentiment. Therefore, the overall tone of the sentence is mixed"
45,46,አዲሱ የሙዚቃ መተግበሪያ ድምጹ ስልክዬን የሚሰብር ይመስለኛል።,negative,positive,"The statement ""The new music app sounds like my phone"" implies a positive experience or opinion about the app. It suggests that the user is satisfied with the app's performance and finds it enjoyable to use"
46,47,እንደምንም አይመስለኝም፣ በዚህ መግቢያ መሳሪያ መጠቀም እኔ ብቻ ብቻ ነው የምችለው።,negative,negative,"It expresses uncertainty and limitation, implying dissatisfaction or discontent"
47,48,እሷ የምትሰጠኝን አገልግሎት እወዳለሁ፣ ሆኖም የንግግር ቅንብር ብዙ ግጭት ያስከትላል።,mixed,mixed,"It expresses a positive sentiment towards the service provided, but the mention of violence introduces a negative element, creating a mixed sentiment overall"
48,49,በዚህ ጆንጦ ሱቅ ግብዣው ጥሩ ነው፣ ግን ሲደርስ ወደ ቤቴ እጅግ እየተቸገርኩ ነው።,mixed,mixed,"It expresses a positive sentiment towards enjoying a restaurant, but also presents a personal challenge in reaching home"
49,50,እግዚአብሔር ምንም አይልም፣ ይህ የቤት መብራት ፀሐይን በትክክል አይመስልም።,negative,negative,"It suggests that God is inactive and the house's light is not effective, which are both negative connotations"
50,51,"I love how this new phone is so quick, though it randomly reboots—makes me wonder if it’s worth the hype.",mixed,mixed,"The user expresses admiration for the phone's speed but also mentions a problem with random reboots, which could undermine their overall positive impression"
51,52,"I’m so stoked about my smartwatch, pero the battery drains in a couple of hours, which is ridiculous.",mixed,mixed,It expresses excitement about the smartwatch (stoked) but also mentions a significant issue with the battery life
52,53,This streaming platform is unbelievable; I’ve never seen so many quality shows in one place!,positive,positive,"It uses positive adjectives like ""unbelievable"" and ""quality"" to describe the streaming platform. It also expresses a positive experience with the service, stating that the user has never seen so many good shows in one place"
53,54,"Bruh, I can’t stand the loading times on this browser—it’s 2025, and I’m still waiting ages for pages to open.",negative,negative,"The user expresses dissatisfaction with the loading times of the browser, stating that it's slow and outdated for 2025. They also use the phrase ""can't stand,"" which further emphasizes their negative sentiment"
54,55,"Gotta admit, your new tutorial vids are dope, but half of them have weird audio sync issues.",mixed,mixed,"It starts with a positive comment about the new tutorial videos being ""dope"", but then immediately follows it with a negative comment about strange audio sync issues in half of them. This creates a contrast between the two parts of the sentence, making it mixed"
55,56,"Wow, c’est incroyable how user-friendly this app is, but I’m definitely not paying those monthly fees.",mixed,mixed,"It expresses admiration for the app's user-friendliness but also expresses reluctance to pay the monthly fees, indicating a conflicting sentiment"
56,57,"Y’all keep telling me this car rides smooth, but my back begs to differ after every trip.",negative,negative,"The speaker is expressing dissatisfaction with the car's ride, despite others' positive experiences"
57,58,"This job-search site gave me three interviews in a week, so obviously I’m a bit impressed.",positive,positive,"The user expresses satisfaction with the job-search site's response, having received three interviews in a week. This indicates a favorable experience"
58,59,"Oh, you fancy, huh? That salad you made looks great on the ’Gram but tastes bland IRL, no cap.",mixed,mixed,"It starts with an informal and positive tone, acknowledging the salad's appearance on social media. However, it quickly shifts to a negative tone, criticizing the salad's taste. The use of ""no cap"" at the end suggests a sense of irony or sarcasm, further emphasizing the negative sentiment"
59,60,"Man, the new firmware update apparently fixes bugs, yet it introduced so many new ones!",mixed,negative,"It expresses dissatisfaction with the new firmware update, despite the fact that it fixes some bugs. The introduction of new bugs further exacerbates the user's frustration"
60,61,"I appreciate the brand’s sustainability efforts, though I’m not convinced about the actual product quality.",mixed,mixed,"It expresses appreciation for the brand's sustainability efforts, but also expresses doubt about the product quality"
61,62,"Let me just say: your system is so secure, it locked me out of my own account for hours—awesome job there.",negative,positive,"The user expresses satisfaction with the system's security, despite experiencing temporary inconvenience"
62,63,"This coffee machine is bomb; it grinds fresh beans and everything, but it’s loud AF in the morning.",mixed,mixed,"The user expresses positivity towards the coffee machine's ability to grind fresh beans, but they also express negativity about its loudness in the morning"
63,64,"Dang, I thought these headphones were trash, but they sound surprisingly good once you tweak the settings.",mixed,positive,"Despite the initial negative sentiment about the headphones being ""trash,"" the user's subsequent statement that they ""sound surprisingly good once you tweak the settings"" indicates a positive experience and opinion"
64,65,"Hard to believe, but your e-book reader is the best I’ve tried, even if it randomly crashes once a month.",mixed,mixed,"The user expresses a positive sentiment about the e-book reader being the best they've tried, but they also mention a negative aspect, which is the random crashes once a month"
65,66,I’ve gotta give props to your coding course—seriously improved my skills!,positive,positive,"It expresses satisfaction and appreciation for the coding course, using positive language such as ""improved my skills."""
66,67,"So you’re telling me this phone can survive water damage, yet it died after a splash of rain?",negative,negative,It expresses disappointment or frustration with the phone's performance in wet conditions
67,68,"Loving the new social media layout, though the non-stop notifications are driving me crazy, amiga.",mixed,mixed,"It expresses a positive sentiment towards the new social media layout, but also a negative sentiment towards the non-stop notifications"
68,69,"I can’t even fault your travel app; it got me cheap tickets twice, and that’s a win in my book.",positive,positive,"It expresses satisfaction with the travel app, which provided cheap tickets, and considers it a win"
69,70,"Yeah, your meal service is convenient, but the portion sizes are tiny—like, do I need to cook again?",mixed,negative,"The user expresses dissatisfaction with the portion sizes, despite appreciating the convenience of the meal service"
70,71,"This game’s graphics are insane, but the paywall for essential items kills the experience, bro.",mixed,negative,"It expresses dissatisfaction with the paywall for essential items, which negatively impacts the gaming experience"
71,72,"Kudos on the new security feature, though it locked me out once because I typed my password in Spanish—seriously?",mixed,mixed,"It expresses appreciation for the new security feature, but also mentions a minor issue with it locking the user out due to typing the password in Spanish"
72,73,"The campsite booking was easy, but man, the place was crawling with bugs, and I’m not talkin’ software bugs here.",negative,negative,"The user expresses dissatisfaction with the campsite's infestation of bugs, which negatively impacts their experience"
73,74,I wholeheartedly recommend your mindful breathing course; it has helped me reduce stress significantly!,positive,positive,"It expresses a strong recommendation for the course, highlighting its benefits in reducing stress"
74,75,"Dawg, the AI chat is hilarious but also kinda glitchy—it once recommended I order 99 pizzas for a dinner party of two.",mixed,mixed,"It acknowledges the AI chat as hilarious, but also mentions it's glitchy, causing a disruptive recommendation of 99 pizzas for a dinner party of two"
75,76,"I gotta say, your camera drone is legit—except for the random altitude drops that nearly gave me a heart attack.",mixed,mixed,"It expresses a positive sentiment towards the camera drone's functionality, but the mention of ""random altitude drops"" and the nearly causing a ""heart attack"" indicates a negative aspect"
76,77,"This online store offers a wide selection, yet the shipping times are painfully slow, no matter what I order.",mixed,negative,"The user expresses dissatisfaction with the shipping times, which they perceive as slow, regardless of the product ordered. This negative assessment is coupled with a positive comment about the wide selection, but the overall tone of the sentence is critical due to the shipping issue"
77,78,"Despite the hype, the new dance fitness videos are meh; I’ve seen better routines on free platforms.",negative,negative,"It uses negative descriptors like ""meh"" and ""better"" to compare the new dance fitness videos unfavorably to free platforms, indicating a negative opinion"
78,79,"C’est magnifique how quickly your support team responded, but the fix they gave me did absolutely nothing.",mixed,mixed,"It starts with a positive comment about the support team's response time, but the rest of the sentence expresses dissatisfaction with the effectiveness of the fix provided"
79,80,"I never thought an electric scooter could be so fun, though the battery barely lasts my commute—sort it out!",mixed,mixed,"It expresses a positive sentiment about the fun of using an electric scooter, but also expresses a negative sentiment about the battery's shortcomings for commuting"
80,81,"I love your writing style; it’s captivating and clear, and I rarely say that about anyone’s blog posts.",positive,positive,"It expresses satisfaction and appreciation for the writing style, using positive descriptors like ""captivating"" and ""clear"". The speaker also expresses rarity in their compliment, which further emphasizes the positive tone"
81,82,"What kind of phone case cracks after one drop? So much for being “heavy-duty,” smh.",negative,negative,"It expresses disappointment and criticism towards a product's durability, using sarcasm (""smh"") to highlight the issue"
82,83,"The translation feature is brilliant, until you realize it mistranslates key phrases and confuses everyone.",mixed,negative,"The user expresses satisfaction with the translation feature's brilliance, but then follows with a criticism about its mistranslations and confusion it causes"
83,84,"I admire the minimal packaging effort, but the product inside was half-broken anyway, so that’s a bummer.",mixed,negative,"The use of the word ""bummer"" indicates a negative sentiment, despite the initial admiration for the minimal packaging effort"
84,85,"Honestly, your customer service is top-notch, but can we talk about how slow your website is?",mixed,mixed,"It starts with a positive comment about the customer service, but then expresses a negative sentiment about the website's speed"
85,86,"Watching your cooking channel is a joy—I’ve tried two recipes, and both were perfect!",positive,positive,"It expresses satisfaction and enjoyment with the cooking channel, as the user has tried two recipes and found them to be perfect. The use of positive adjectives such as ""joy"" and ""perfect"" further reinforces the positive tone of the sentence"
86,87,"I gave your grammar-check tool a shot, but it flagged half my sentence as “incorrect” when it was fine—eye roll.",negative,negative,"The user expresses dissatisfaction with the grammar-check tool, as it incorrectly flagged some of their sentences as ""incorrect"" when they believed they were fine. This is indicated by the use of the word ""eye roll,"" which implies a sense of frustration or disbelief"
87,88,"The new fragrance line smells divine, though I gotta question the sky-high price tag—like, really?",mixed,mixed,"The first part expresses a positive sentiment about the fragrance line's smell, while the second part expresses a negative sentiment about its high price"
88,89,I’m super happy with your budgeting app; it helped me save money for the first time in years!,positive,positive,"It expresses satisfaction with the budgeting app and its ability to help save money, which is a positive outcome"
89,90,Let’s not pretend your antivirus is flawless—I literally just got hit with malware yesterday.,negative,negative,"It expresses dissatisfaction with the antivirus software's performance, as the user has recently encountered malware"
90,91,"Sure, your phone case has pretty designs, yet it feels flimsy, and I’m not convinced it’s worth the price, tbh.",mixed,negative,"The user expresses doubt about the phone case's worth, mentions it feels flimsy, and uses ""tbh"" which often indicates a more candid or negative opinion"
91,92,"Mad respect for how your site integrates multiple accounts, but it timed out thrice already—fix that, please.",mixed,mixed,It expresses appreciation for the site's functionality (Mad respect) but also expresses dissatisfaction with a technical issue (timed out thrice already)
92,93,"The VR roller coaster was epic, though it gave me motion sickness for an hour—fun times, right?",mixed,mixed,"It starts with a positive descriptor ""epic"" but then follows with a negative experience of motion sickness. The use of ""fun times"" in a sarcastic tone also indicates a negative experience"
93,94,I can’t believe how polite your staff is; they made me feel valued during every step of the process.,positive,positive,It expresses satisfaction with the staff's politeness and valuing of the user's feelings throughout the process
94,95,"This hair dye’s color is gorgeous, but it stained my sink and towels—kinda not cool, right?",mixed,mixed,"It expresses a positive sentiment towards the hair dye's color, but the user also expresses a negative sentiment towards the staining effect on their sink and towels"
95,96,"You’re doing a great job with that tutorial series, man! It’s super helpful for beginners.",positive,positive,"It uses encouraging language, such as ""great job"" and ""super helpful"", to express a positive sentiment towards the tutorial series"
96,97,"This mattress is comfy as heck, but the chemical smell took days to air out, so that’s not great.",mixed,negative,"The user expresses dissatisfaction with the chemical smell that took days to air out, despite the mattress being comfy"
97,98,I’d say your language-learning app is a must-have if it didn’t crash every time I tried the advanced modules.,mixed,negative,"The user expresses dissatisfaction with the app's performance, specifically its crashing issue with advanced modules"
98,99,"I guess I appreciate the free upgrade, though it feels like you just changed the interface and called it a day.",mixed,mixed,"It expresses some appreciation for the free upgrade, but also criticism towards the perceived lack of effort in the interface change"
99,100,"Dude, these cookies are homemade heaven—my taste buds are throwing a party right now!",positive,positive,"It expresses enjoyment and satisfaction with homemade cookies, using positive descriptors like ""heaven"" and ""homemade"" and mentioning a positive reaction from the taste buds"
